Country/Economy,GDP per capita
Afghanistan,586
Albania,5323
Algeria,3940
Angola,2974
Antigua and Barbuda,17195
Argentina,9890
Armenia,4605
Aruba,29814
Australia,54464
Austria,50247
Azerbaijan,4814
Bahrain,25930
Bangladesh,1855
Barbados,18139
Belarus,6798
Belgium,46542
Belize,4699
Benin,1218
Bhutan,3371
Bolivia,3566
Bosnia and Herzegovina,6120
Botswana,7979
Brazil,8932
Brunei Darussalam,29314
Bulgaria,9863
Burkina Faso,775
Burundi,257
Cabo Verde,3602
Cambodia,1713
Cameroon,1502
Canada,46400
Central African Republic,480
Chad,686
Chile,14616
China,10243
Colombia,6419
Comoros,1362
Costa Rica,12599
Côte d'Ivoire,2228
Croatia,14936
Cyprus,28488
Czech Republic,23539
Democratic Republic of the Congo,574
Denmark,60300
Djibouti,3103
Dominica,7732
Dominican Republic,8596
Ecuador,6261
Egypt,3057
El Salvador,4187
Equatorial Guinea,8106
Eritrea,567
Estonia,23720
Eswatini,4010
Ethiopia,968
Fiji,6144
Finland,48749
France,41811
Gabon,8111
Georgia,4694
Germany,46473
Ghana,2221
Greece,19147
Grenada,10735
Guatemala,4354
Guinea,1013
Guinea-Bissau,811
Guyana,6594
Haiti,1273
Honduras,2551
Hong Kong SAR,48626
Hungary,16726
Iceland,69572
India,2099
Indonesia,4196
Iraq,5687
Ireland,80482
Islamic Republic of Iran,6980
Israel,43603
Italy,33220
Jamaica,5782
Japan,40802
Jordan,4426
Kazakhstan,9750
Kenya,2004
Kiribati,1695
Korea,31846
Kosovo,4419
Kuwait,28339
Kyrgyz Republic,1323
Lao P.D.R.,2625
Latvia,17739
Lebanon,7668
Lesotho,1117
Liberia,669
Libya,6055
Lithuania,19553
Luxembourg,115839
Macao SAR,81157
Madagascar,540
Malawi,378
Malaysia,11213
Maldives,15149
Mali,907
Malta,30833
Marshall Islands,4363
Mauritania,1954
Mauritius,11090
Mexico,10024
Micronesia,3952
Moldova,4458
Mongolia,4245
Montenegro,8903
Morocco,3364
Mozambique,488
Myanmar,1302
Namibia,5100
Nauru,9365
Nepal,1201
Netherlands,52491
New Zealand,42166
Nicaragua,1920
Niger,554
Nigeria,2230
North Macedonia,6044
Norway,75700
Oman,16529
Pakistan,1349
Palau,16064
Panama,15831
Papua New Guinea,2887
Paraguay,5333
Peru,6958
Philippines,3512
Poland,15689
Portugal,23287
Puerto Rico,32809
Qatar,62919
Republic of Congo,2746
Romania,12867
Russia,11512
Rwanda,816
Samoa,4238
San Marino,48368
São Tomé and Príncipe,1980
Saudi Arabia,23266
Senegal,1430
Serbia,7392
Seychelles,16389
Sierra Leone,527
Singapore,65641
Slovak Republic,19281
Slovenia,26037
Solomon Islands,2463
Somalia,338
South Africa,5978
South Sudan,310
Spain,29586
Sri Lanka,3852
St. Kitts and Nevis,18832
St. Lucia,11803
St. Vincent and the Grenadines,7474
Sudan,777
Suriname,6191
Sweden,51443
Switzerland,85686
Syria,-
Taiwan Province of China,25936
Tajikistan,873
Tanzania,1080
Thailand,7815
The Bahamas,35664
The Gambia,774
Timor-Leste,1561
Togo,893
Tonga,5151
Trinidad and Tobago,16637
Tunisia,3324
Turkey,9151
Turkmenistan,7724
Tuvalu,4295
Uganda,949
Ukraine,3688
United Arab Emirates,39180
United Kingdom,42417
United States,65254
Uruguay,17681
Uzbekistan,1736
Vanuatu,3156
Venezuela,2299
Vietnam,3415
West Bank and Gaza,3443
Yemen,713
Zambia,1272
Zimbabwe,1293
